Category	Message	ImageKey
Control	WASD로 이동합니다. 총알은 이동 시키지 못합니다.	Default
Control	마우스로 조준점을 움직입니다. 커서가 곧 생존선입니다.	Default
Control	좌클릭으로 발사합니다. 빗나간 탄은 사과하지 않습니다.	Default
Control	우클릭으로 조준합니다. 급하면 쏘고, 살고 싶으면 조준하세요.	Default
Control	R키로 재장전합니다. 빈 탄창으로 용기 내지 마세요.	Default
Control	F키로 문, 상자, 시설과 상호작용합니다. 문은 어떻게 열죠?	Default
Control	Tab키로 인벤토리를 엽니다. 정리는 생존자의 기본 소양입니다.	Default
Control	M키로 지도를 확인합니다. 길 잃는 것도 전략은 아닙니다.	Default
Control	Esc키로 메뉴를 엽니다. 현실 도피는 지원하지 않습니다.	Default
Control	Space로 구르기를 사용할 수 있습니다. 총알보다 빠르진 않아도, 맞는 위치는 바꿀 수 있습니다.	Default
Control	구르기는 스태미나를 소모합니다. 남발하면 멋있게 죽습니다.	Default
Control	Shift를 누르고 있으면 달립니다. 도망도 전술입니다.	Default
Control	1번은 보조무기, 2~3번은 주무기 슬롯입니다.	Default
Control	4~9번은 퀵슬롯입니다. 회복템을 넣어두면 후회가 줄어듭니다.	Default
Control	T키로 퀘스트 창을 확인할 수 있습니다. 목적 없는 파밍은 산책입니다.	Default
Loot	무거운 장비를 많이 들면 이동이 느려집니다. 욕심도 무게가 있습니다.	Default
Loot	인벤토리가 꽉 찼다면, 정말 필요한 것과 그냥 아까운 것을 구분하세요.	Default
Loot	탄약 등급을 확인하세요. LP, BP, AP는 이름보다 결과가 다릅니다.	Default
Loot	좋은 총보다 맞는 탄이 더 중요할 때가 있습니다.	Default
Loot	값비싼 귀중품은 제작할 수 없습니다. 훔치듯 주워야 합니다.	Default
Loot	잠긴 구역일수록 좋은 아이템이 나올 확률이 높습니다. 물론 죽을 확률도 높습니다.	Default
Loot	아이템을 주웠다고 끝이 아닙니다. 탈출해야 진짜 내 것입니다.	Default
Loot	가방에 들어간 아이템은 희망입니다. 사망하면 남의 희망이 됩니다.	Default
Combat	방어구는 무적이 아닙니다. 수명을 조금 빌려줄 뿐입니다.	Default
Combat	헬멧은 머리를 지켜줍니다. 생각은 직접 하셔야 합니다.	Default
Combat	적이 보이지 않아도 소리를 들을 수 있습니다. 당신도 마찬가지입니다.	Default
Combat	엄폐물은 장식이 아닙니다. 벽 뒤에서 생존하면 일단 팀원의 분노게이지는 줄어듭니다.	Default
Combat	체력이 낮을 땐 싸움보다 탈출 지점이 더 좋은 친구입니다.	Default
Extraction	탈출 지점에 도착해도 즉시 탈출되지는 않습니다. 끝까지 버티세요.	Default
Extraction	탈출 카운트다운 중에는 주변을 확인하세요. 마지막 15초가 제일 깁니다.	Default
Extraction	조건부 탈출 지점은 특정 아이템이나 퀘스트 조건이 필요할 수 있습니다.	Default
